,centroide_x,centroide_y,bin,n_comp,area_relative_to_image,area_relative_to_bbox,bbox_height,bbox_width
91,0.625,0.2625,4,29,6.510416666666667e-05,1.0,1,1
92,0.6640625,0.22083333333333333,4,29,0.00013020833333333333,1.0,2,1
93,0.6796875,0.27708333333333335,4,29,0.00026041666666666666,0.5,4,2
94,0.72265625,0.115625,4,29,0.00026041666666666666,0.6666666666666666,3,2
95,0.7109375,0.15,4,29,0.00013020833333333333,1.0,2,1
96,0.75,0.1,4,29,6.510416666666667e-05,1.0,1,1
97,0.8125,0.115,4,29,0.0003255208333333333,0.5,5,2
98,0.8125,0.7041666666666667,4,29,0.0001953125,1.0,3,1
99,0.8203125,0.09583333333333334,4,29,0.00013020833333333333,1.0,2,1
100,0.8616071428571429,0.14464285714285716,4,29,0.0004557291666666667,0.7,5,2
101,0.8359375,0.15416666666666667,4,29,0.00013020833333333333,1.0,2,1
102,0.84375,0.8125,4,29,0.0001953125,1.0,3,1
103,0.515625,0.1125,5,11,0.0001953125,1.0,3,1
104,0.59375,0.29791666666666666,5,11,0.00026041666666666666,0.6666666666666666,3,2
105,0.609375,0.39791666666666664,5,11,0.00013020833333333333,1.0,1,2
106,0.7053571428571429,0.3619047619047619,5,11,0.0004557291666666667,0.4666666666666667,5,3
107,0.83828125,0.41520833333333335,5,11,0.0013020833333333333,0.4166666666666667,12,4
108,0.79296875,0.3046875,5,11,0.0005208333333333333,0.5333333333333333,5,3
109,0.86328125,0.3697916666666667,5,11,0.00026041666666666666,0.6666666666666666,3,2
110,0.84375,0.4,5,11,6.510416666666667e-05,1.0,1,1
111,0.9015625,0.3408333333333333,5,11,0.0006510416666666666,0.8333333333333334,4,3
112,0.9107142857142857,0.318452380952381,5,11,0.0004557291666666667,0.5833333333333334,3,4
113,0.9140625,0.37916666666666665,5,11,0.00013020833333333333,1.0,2,1
114,0.65625,0.31875,6,2,0.00013020833333333333,1.0,1,2
115,0.6640625,0.32916666666666666,6,2,0.00013020833333333333,1.0,2,1
116,0.953125,0.3958333333333333,7,1,6.510416666666667e-05,1.0,1,1
117,0.953125,0.8125,9,1,6.510416666666667e-05,1.0,1,1
